AWARD ID,USASPENDING LINK,TOTAL AWARD FUNDING AMOUNT,RECIPIENT TYPE,RECIPIENT NAME,Address,City,STATE,Zip Code
2410953,https://www.usaspending.gov/award/ASST_NON_2410953_4900/,20000,MEDICAL CENTER,VANDERBILT UNIVERSITY MEDICAL CENTER,1211 Medical Center Drive,Nashville,TENNESSEE,37232
2315165,https://www.usaspending.gov/award/ASST_NON_2315165_4900/,1000000,MEDICAL CENTER,VIRGINIA BIOTECHNOLOGY RESEARCH PARK,800 E Leigh St,Richmond,VIRGINIA,23219-1534
2315199,https://www.usaspending.gov/award/ASST_NON_2315199_4900/,397978,NON-PROFIT ORGANIZATION,NATIONAL SOCIETY OF BLACK ENGINEERS,205 Daingerfield Rd,Alexandria,VIRGINIA,22314
2341569,https://www.usaspending.gov/award/ASST_NON_2341569_4900/,598628,MUSEUM,BISHOP MUSEUM,1525 Bernice St,Honolulu,HAWAII,96817
2216721,https://www.usaspending.gov/award/ASST_NON_2216721_4900/,2982873,MUSEUM,LOS ANGELES COUNTY MUSEUM OF NATURAL HISTORY FOUNDATION,900 Exposition Blvd,Los Angeles,CALIFORNIA,90007
2215353,https://www.usaspending.gov/award/ASST_NON_2215353_4900/,299722,MUSEUM,NEW YORK HALL OF SCIENCE,47-01 111th St,Corona,NEW YORK,11368
2329473,https://www.usaspending.gov/award/ASST_NON_2329473_4900/,1245879,MUSEUM,NEW YORK HALL OF SCIENCE,47-01 111th St,Corona,NEW YORK,11368
2314307,https://www.usaspending.gov/award/ASST_NON_2314307_4900/,1999483,MUSEUM,OREGON MUSEUM OF SCIENCE AND INDUSTRY,1945 SE Water Ave,Portland,OREGON,97214
2331116,https://www.usaspending.gov/award/ASST_NON_2331116_4900/,99055,MUSEUM,OREGON MUSEUM OF SCIENCE AND INDUSTRY,1945 SE Water Ave,Portland,OREGON,97214
2244445,https://www.usaspending.gov/award/ASST_NON_2244445_4900/,249313,MUSEUM,SMITHSONIAN INSTITUTION,600 Maryland Ave SW,Washington DC,DISTRICT OF COLUMBIA,20024
2244182,https://www.usaspending.gov/award/ASST_NON_2244182_4900/,598311,MUSEUM,THE AMERICAN MUSEUM OF NATURAL HISTORY,Central Park West & 79th St,New York,NEW YORK,10024
