AWARD ID,USASPENDING LINK,TOTAL AWARD FUNDING AMOUNT,RECIPIENT TYPE,RECIPIENT NAME,Address,City,STATE,Zip Code
2335287,https://www.usaspending.gov/award/ASST_NON_2335287_4900/,274996,SMALL BUSINESS,ALGOFACE INC,37204 N Transquil Trl,Carefree,ARIZONA,85377
2344191,https://www.usaspending.gov/award/ASST_NON_2344191_4900/,275000,SMALL BUSINESS,"ANYGLABS, INC.",5770 Oberlin Dr,San Diego,CALIFORNIA,92121-1723
2335396,https://www.usaspending.gov/award/ASST_NON_2335396_4900/,275000,SMALL BUSINESS,"ASTRIA BIOSCIENCES, INC.",1123 Pinewood Drive,Pittsburg,PENNSYLVANIA,15243
2341568,https://www.usaspending.gov/award/ASST_NON_2341568_4900/,1000000,SMALL BUSINESS,"BIOSENS8, INC.",750 Main St,Cambridge,MASSACHUSETTS,02139-3544
2233707,https://www.usaspending.gov/award/ASST_NON_2233707_4900/,1997452,SMALL BUSINESS,BLACK IN MARINE SCIENCE,522 W Riverside Ave,Spokane,WASHINGTON,99201
2208725,https://www.usaspending.gov/award/ASST_NON_2208725_4900/,275937,SMALL BUSINESS,CALM WATERS GROUP LLC,5393 Oak Forest Dr,Jacksonville,CALIFORNIA,32211
2202033,https://www.usaspending.gov/award/ASST_NON_2202033_4900/,646526,SMALL BUSINESS,CAST INC,40 Harvard Mills Square,Wakefield,MASSACHUSETTS,1880
2233004,https://www.usaspending.gov/award/ASST_NON_2233004_4900/,991408,SMALL BUSINESS,CHIBITRONICS INC,1652 Mountain Ash Way,New Port Richey,FLORIDA,34655
2214516,https://www.usaspending.gov/award/ASST_NON_2214516_4900/,2499156,SMALL BUSINESS,CONCORD CONSORTIUM INC,25 Love Ln,Concord,MASSACHUSETTS,1742
2241669,https://www.usaspending.gov/award/ASST_NON_2241669_4900/,516058,SMALL BUSINESS,CONCORD CONSORTIUM INC,25 Love Ln,Concord,MASSACHUSETTS,1742
2303937,https://www.usaspending.gov/award/ASST_NON_2303937_4900/,294880,SMALL BUSINESS,"CULTURALLY RESPONSIVE SOLUTIONS, LLC",1 Oak Knoll Drive,Wallingford,PENNSYLVANIA,19086
2228671,https://www.usaspending.gov/award/ASST_NON_2228671_4900/,49500,SMALL BUSINESS,EASTIE FARM INC,213 Webster St,Boston,MASSACHUSETTS,2128
2322178,https://www.usaspending.gov/award/ASST_NON_2322178_4900/,1000000,SMALL BUSINESS,EASTIE FARM INC,213 Webster St,Boston,MASSACHUSETTS,2128
2304358,https://www.usaspending.gov/award/ASST_NON_2304358_4900/,275000,SMALL BUSINESS,"EMPALLO, INC.",511 Putnam Ave,Cambridge,GEORGIA,2139
2233395,https://www.usaspending.gov/award/ASST_NON_2233395_4900/,1016783,SMALL BUSINESS,FIRELINE SCIENCE LLC,5501 S College Ave,Tempe,ARIZONA,85283
2304420,https://www.usaspending.gov/award/ASST_NON_2304420_4900/,294993,SMALL BUSINESS,GENASSIST INC,8200 E Belleview Ave,Greenwood Village,MISSOURI,80111
2151351,https://www.usaspending.gov/award/ASST_NON_2151351_4900/,276000,SMALL BUSINESS,HAIRDAYS INC,11 E Loop Road,New York,NEW YORK,10044-1500
2232475,https://www.usaspending.gov/award/ASST_NON_2232475_4900/,295000,SMALL BUSINESS,ICONIUM ENGINEERING COMPANY,2029 Becker Dr,Lawrence,KANSAS,66047
2304322,https://www.usaspending.gov/award/ASST_NON_2304322_4900/,985389,SMALL BUSINESS,INITIUM AI INC,245 Hunters Trl,Ann Arbor,MICHIGAN,48103
2219491,https://www.usaspending.gov/award/ASST_NON_2219491_4900/,1061469,SMALL BUSINESS,LEARNING PARTNERSHIP LLC,4617 Wolf Rd,Western Springs,ILLINOIS,60558
2317077,https://www.usaspending.gov/award/ASST_NON_2317077_4900/,274993,SMALL BUSINESS,LIVEDX INC.,333 SE 2nd Ave,Miami,COLORADO,33131
2335060,https://www.usaspending.gov/award/ASST_NON_2335060_4900/,275000,SMALL BUSINESS,"MINTANGIBLE, INC.",2400 Old Brick Road,Glen Allen,VIRGINIA,23060
2317317,https://www.usaspending.gov/award/ASST_NON_2317317_4900/,100000,SMALL BUSINESS,"NATIONAL COLLEGIATE INVENTORS & INNOVATORS ALLIANCE, INC.",100 Venture Way,Hadley,MASSACHUSETTS,1035
2322073,https://www.usaspending.gov/award/ASST_NON_2322073_4900/,995338,SMALL BUSINESS,NATRX INC,6220 Angus Dr,Umstead,NORTH CAROLINA,27617
