,RECIPIENT.NAME,award_count,total_funding_awarded,Recipient.Type
331,ST. MARY'S COLLEGE OF MARYLAND,2,764000,Public Institution of Higher Education
332,ST. MARY'S UNIVERSITY,1,177272,Private Institution of Higher Education
333,STANFORD UNIVERSITY,25,11604352,Private Institution of Higher Education
334,STATE OF OKLAHOMA EAST CENTRAL UNIVERSITY,1,164796,Public Institution of Higher Education
335,STATE UNIVERSITY OF NEW YORK AT NEW PALTZ,38,40901285,Public Institution of Higher Education
336,STEPHEN F AUSTIN STATE UNIVERSITY,2,37397,Public Institution of Higher Education
337,STEVENS INSTITUTE OF TECHNOLOGY,1,102100,Private Institution of Higher Education
338,STILLMAN COLLEGE,1,152500,Private Institution of Higher Education
339,STOCKTON UNIVERSITY,1,99929,Public Institution of Higher Education
340,STONY BROOK UNIVERSITY,11,3285968,Public Institution of Higher Education
341,SYRACUSE UNIVERSITY,10,3558982,Private Institution of Higher Education
342,TARLETON STATE UNIVERSITY,2,198725,Public Institution of Higher Education
343,TEACHERS COLLEGE AT COLUMBIA UNIVERSITY,3,2002960,Private Institution of Higher Education
344,TEMPLE UNIVERSITY,11,4865773,Private Institution of Higher Education
345,TENNESSEE STATE UNIVERSITY,5,1674297,Public Institution of Higher Education
346,TENNESSEE TECHNOLOGICAL UNIVERSITY,4,825679,Public Institution of Higher Education
347,TEXAS A & M INTERNATIONAL UNIVERSITY,16,6621870,Public Institution of Higher Education
348,TEXAS A & M UNIVERSITY,18,7176102,Public Institution of Higher Education
349,TEXAS A & M UNIVERSITY-COMMERCE,1,385387,Public Institution of Higher Education
350,TEXAS A & M UNIVERSITY-KINGSVILLE,2,540754,Public Institution of Higher Education
351,TEXAS A&M UNIVERSITY-CORPUS CHRISTI,6,4952960,Public Institution of Higher Education
352,TEXAS A&M UNIVERSITY-SAN ANTONIO,2,685448,Public Institution of Higher Education
353,TEXAS CHRISTIAN UNIVERSITY,2,519975,Private Institution of Higher Education
354,TEXAS PERMIAN BASIN UNIV OF,2,755379,Public Institution of Higher Education
355,TEXAS SOUTHERN UNIVERSITY,2,1136582,Public Institution of Higher Education
356,TEXAS STATE UNIVERSITY,11,4453760,Public Institution of Higher Education
357,TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER,1,50000,Public Institution of Higher Education
358,TEXAS TECH UNIVERSITY SYSTEM ADMINISTRATION,7,10226790,Public Institution of Higher Education
359,TEXAS WESLEYAN UNIVERSITY,1,527170,Private Institution of Higher Education
360,THE CATHOLIC UNIVERSITY OF AMERICA,1,508504,Private Institution of Higher Education
361,THE CHICAGO SCHOOL OF PROFESSIONAL PSYCHOLOGY,1,498949,Private Institution of Higher Education
362,THE CHILDREN'S HOSPITAL OF PHILADELPHIA,1,392542,Private Institution of Higher Education
363,THE CURATORS OF THE UNIVERSITY OF MISSOURI,3,1047727,Public Institution of Higher Education
364,THE REED INSTITUTE,1,163359,Private Institution of Higher Education
365,THE SKAGIT VALLEY COLLEGE FOUNDATION,1,299938,Public Institution of Higher Education
366,THE UNIVERSITY CORPORATION,6,4153952,Public Institution of Higher Education
367,THE UNIVERSITY OF ALABAMA,17,14326829,Public Institution of Higher Education
368,THE UNIVERSITY OF ALABAMA IN HUNTSVILLE,2,585811,Public Institution of Higher Education
369,THE UNIVERSITY OF IOWA,11,3053501,Public Institution of Higher Education
370,THE UNIVERSITY OF SOUTH DAKOTA,2,1349966,Public Institution of Higher Education
371,THE UNIVERSITY OF SOUTHERN MISSISSIPPI,2,6012121,Public Institution of Higher Education
372,THE UNIVERSITY OF TENNESSEE SYSTEM OFFICE,26,11995027,Public Institution of Higher Education
373,THE UNIVERSITY OF TEXAS AT ARLINGTON,12,3322687,Public Institution of Higher Education
374,THE UNIVERSITY OF TEXAS AT AUSTIN,36,20483095,Public Institution of Higher Education
375,THE UNIVERSITY OF TEXAS AT DALLAS,7,3097181,Public Institution of Higher Education
376,THE UNIVERSITY OF TEXAS AT EL PASO,17,25625045,Public Institution of Higher Education
377,THE UNIVERSITY OF TEXAS AT SAN ANTONIO,18,14784858,Public Institution of Higher Education
378,THE UNIVERSITY OF TEXAS AT TYLER,1,14985,Public Institution of Higher Education
379,THE UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT HOUSTON,2,665936,Public Institution of Higher Education
380,THE UNIVERSITY OF TEXAS RIO GRANDE VALLEY,8,4280069,Public Institution of Higher Education
,UNIVERSITY OF THE DISTRICT OF COLUMBIA,3,2512916,Public Institution of Higher Education
381,THE WASHINGTON AND LEE UNIVERSITY,1,41688,Private Institution of Higher Education
382,TOWSON UNIVERSITY,3,1795908,Public Institution of Higher Education
383,TRINITY UNIVERSITY,2,391781,Private Institution of Higher Education
384,TUFTS COLLEGE,9,2366521,Private Institution of Higher Education
385,TULANE UNIVERSITY OF LOUISIANA,2,383610,Private Institution of Higher Education
386,TUSKEGEE UNIVERSITY,5,3161800,Private Institution of Higher Education
387,ULSTER COUNTY COMMUNITY COLLEGE,1,349838,Public Institution of Higher Education
388,UNION COLLEGE IN SCHENECTADY,2,382139,Private Institution of Higher Education
389,UNIVERISTY OF NORTH FLORIDA,2,463431,Public Institution of Higher Education
390,"UNIVERSIDAD POLITECNICA DE PUERTO RICO, INC.",2,2030951,Private Institution of Higher Education
391,UNIVERSITY CORPORATION AT MONTEREY BAY,1,704076,Public Institution of Higher Education
392,"UNIVERSITY ENTERPRISES, INC.",3,906668,Public Institution of Higher Education
393,UNIVERSITY OF AKRON MAIN CAMPUS,3,2199997,Public Institution of Higher Education
394,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2,3186807,Public Institution of Higher Education
395,UNIVERSITY OF ALASKA ANCHORAGE,3,2124949,Public Institution of Higher Education
396,UNIVERSITY OF ALASKA FAIRBANKS,12,9085156,Public Institution of Higher Education
397,UNIVERSITY OF ARIZONA,27,12030696,Public Institution of Higher Education
398,UNIVERSITY OF ARKANSAS,14,5772257,Public Institution of Higher Education
399,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,2,20000,Public Institution of Higher Education
400,UNIVERSITY OF ARKANSAS SYSTEM,1,74982,Public Institution of Higher Education
401,UNIVERSITY OF ARKANSAS SYSTEM OFFICE,2,2749986,Public Institution of Higher Education
402,UNIVERSITY OF CALIFORNIA-BERKELEY,23,21223550,Public Institution of Higher Education
403,UNIVERSITY OF CALIFORNIA-DAVIS,19,5503997,Public Institution of Higher Education
404,UNIVERSITY OF CALIFORNIA-IRVINE,26,16852558,Public Institution of Higher Education
405,UNIVERSITY OF CALIFORNIA-LOS ANGELES,26,12096702,Public Institution of Higher Education
406,UNIVERSITY OF CALIFORNIA-MERCED,15,7887436,Public Institution of Higher Education
407,UNIVERSITY OF CALIFORNIA-RIVERSIDE,15,8852518,Public Institution of Higher Education
408,UNIVERSITY OF CALIFORNIA-SAN DIEGO,25,19076086,Public Institution of Higher Education
409,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,6,5757076,Public Institution of Higher Education
410,UNIVERSITY OF CALIFORNIA-SANTA BARBARA,17,11880729,Public Institution of Higher Education
411,UNIVERSITY OF CALIFORNIA-SANTA CRUZ,14,6801952,Public Institution of Higher Education
412,UNIVERSITY OF CENTRAL ARKANSAS,1,49950,Public Institution of Higher Education
413,UNIVERSITY OF CENTRAL FLORIDA,12,3914448,Public Institution of Higher Education
414,UNIVERSITY OF CHICAGO,18,15012506,Private Institution of Higher Education
415,UNIVERSITY OF CINCINNATI,16,6946107,Public Institution of Higher Education
416,UNIVERSITY OF COLORADO BOULDER,51,27644267,Public Institution of Higher Education
417,UNIVERSITY OF COLORADO DENVER,4,832183,Public Institution of Higher Education
418,UNIVERSITY OF CONNECTICUT,19,6459559,Public Institution of Higher Education
419,UNIVERSITY OF CONNECTICUT HEALTH CENTER,1,322382,Public Institution of Higher Education
420,UNIVERSITY OF DAYTON,3,597922,Private Institution of Higher Education
421,UNIVERSITY OF DELAWARE,10,9181480,Public Institution of Higher Education
422,UNIVERSITY OF DETROIT MERCY,1,174850,Private Institution of Higher Education
423,UNIVERSITY OF FLORIDA,26,8322041,Public Institution of Higher Education
424,UNIVERSITY OF GEORGIA,26,15591903,Public Institution of Higher Education
425,UNIVERSITY OF GUAM,2,1429751,Public Institution of Higher Education
426,UNIVERSITY OF HAWAII,15,9789918,Public Institution of Higher Education
427,UNIVERSITY OF HOUSTON,19,11346441,Public Institution of Higher Education
428,UNIVERSITY OF IDAHO,4,3991887,Public Institution of Higher Education
429,UNIVERSITY OF ILLINOIS,32,65969694,Public Institution of Higher Education
430,UNIVERSITY OF KANSAS,8,3153566,Public Institution of Higher Education
431,UNIVERSITY OF KENTUCKY,8,2709529,Public Institution of Higher Education
432,UNIVERSITY OF LOUISVILLE,4,1938159,Public Institution of Higher Education
433,UNIVERSITY OF LYNCHBURG,1,391582,Private Institution of Higher Education
434,UNIVERSITY OF MAINE,5,2013481,Public Institution of Higher Education
435,UNIVERSITY OF MARYLAND CENTER FOR ENVIRONMENTAL SCIENCE,2,1111591,Public Institution of Higher Education
436,UNIVERSITY OF MARYLAND-BALTIMORE COUNTY,10,6144530,Public Institution of Higher Education
437,UNIVERSITY OF MARYLAND-COLLEGE PARK,19,12488623,Public Institution of Higher Education
438,UNIVERSITY OF MASSACHUSETTS-AMHERST,28,17209837,Public Institution of Higher Education
439,UNIVERSITY OF MASSACHUSETTS-BOSTON,3,1642538,Public Institution of Higher Education
440,UNIVERSITY OF MASSACHUSETTS-DARTMOUTH,6,905401,Public Institution of Higher Education
441,UNIVERSITY OF MEMPHIS,4,3291964,Public Institution of Higher Education
442,UNIVERSITY OF MIAMI,6,3598859,Private Institution of Higher Education
443,UNIVERSITY OF MICHIGAN-ANN ARBOR,52,30127858,Public Institution of Higher Education
444,UNIVERSITY OF MINNESOTA-DULUTH,35,14047499,Public Institution of Higher Education
445,UNIVERSITY OF MISSISSIPPI,3,1069564,Public Institution of Higher Education
446,UNIVERSITY OF MISSOURI SYSTEM,21,10925948,Public Institution of Higher Education
447,UNIVERSITY OF MONTANA,1,1692873,Public Institution of Higher Education
448,UNIVERSITY OF NEBRASKA,27,12838642,Public Institution of Higher Education
449,"UNIVERSITY OF NEW HAVEN, INCORPORATED",1,606511,Private Institution of Higher Education
450,UNIVERSITY OF NEW MEXICO,19,9330852,Public Institution of Higher Education
451,UNIVERSITY OF NEW ORLEANS,1,211309,Public Institution of Higher Education
452,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,20,10836132,Public Institution of Higher Education
453,UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE,15,3745656,Public Institution of Higher Education
454,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,7,2987394,Public Institution of Higher Education
455,UNIVERSITY OF NORTH CAROLINA AT WILMINGTON,1,171767,Public Institution of Higher Education
456,UNIVERSITY OF NORTH CAROLINA SYSTEM OFFICE,1,37468,Public Institution of Higher Education
457,UNIVERSITY OF NORTH DAKOTA,4,997704,Public Institution of Higher Education
458,UNIVERSITY OF NORTH GEORGIA,1,138184,Public Institution of Higher Education
459,UNIVERSITY OF NORTH TEXAS,9,2294018,Public Institution of Higher Education
460,UNIVERSITY OF NORTHERN COLORADO,1,399996,Public Institution of Higher Education
461,UNIVERSITY OF NORTHERN IOWA,3,758914,Public Institution of Higher Education
462,UNIVERSITY OF NOTRE DAME,12,4364150,Private Institution of Higher Education
463,UNIVERSITY OF OKLAHOMA,14,7058909,Public Institution of Higher Education
464,UNIVERSITY OF OREGON,10,4175540,Public Institution of Higher Education
465,UNIVERSITY OF PENNSYLVANIA,15,10971017,Private Institution of Higher Education
466,UNIVERSITY OF PITTSBURGH-PITTSBURGH CAMPUS,18,5084310,Private Institution of Higher Education
467,UNIVERSITY OF PUERTO RICO,12,7889015,Public Institution of Higher Education
468,UNIVERSITY OF PUERTO RICO IN PONCE,1,435207,Public Institution of Higher Education
469,UNIVERSITY OF RHODE ISLAND,5,1572907,Public Institution of Higher Education
470,UNIVERSITY OF ROCHESTER,10,7165954,Private Institution of Higher Education
471,UNIVERSITY OF SAN DIEGO,2,873374,Private Institution of Higher Education
472,UNIVERSITY OF SOUTH ALABAMA,4,2156691,Public Institution of Higher Education
473,UNIVERSITY OF SOUTH CAROLINA,6,3208776,Public Institution of Higher Education
474,UNIVERSITY OF SOUTH FLORIDA,14,4255595,Public Institution of Higher Education
475,UNIVERSITY OF SOUTHERN CALIFORNIA,19,10627158,Private Institution of Higher Education
476,UNIVERSITY OF SOUTHERN INDIANA,1,54559,Public Institution of Higher Education
477,UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER,1,483845,Public Institution of Higher Education
478,UNIVERSITY OF THE INCARNATE WORD,1,399846,Private Institution of Higher Education
479,UNIVERSITY OF THE VIRGIN ISLANDS,3,4318238,Public Institution of Higher Education
480,UNIVERSITY OF TOLEDO,1,707521,Public Institution of Higher Education
481,UNIVERSITY OF UTAH,18,8934133,Public Institution of Higher Education
482,UNIVERSITY OF VERMONT,4,1494473,Public Institution of Higher Education
483,UNIVERSITY OF VIRGINIA-MAIN CAMPUS,15,9319173,Public Institution of Higher Education
484,UNIVERSITY OF WASHINGTON,44,23416658,Public Institution of Higher Education
485,UNIVERSITY OF WEST FLORIDA,1,299963,Public Institution of Higher Education
486,UNIVERSITY OF WEST GEORGIA,1,37688,Public Institution of Higher Education
487,UNIVERSITY OF WISCONSIN,34,10602285,Public Institution of Higher Education
488,UNIVERSITY OF WISCONSIN PARKSIDE,1,219994,Public Institution of Higher Education
489,UNIVERSITY OF WYOMING,4,1610344,Public Institution of Higher Education
490,UNIVERSITY SYSTEM OF NEW HAMPSHIRE SYSTEM OFFICE,6,2537748,Public Institution of Higher Education
491,UTAH STATE UNIVERSITY,10,3453806,Public Institution of Higher Education
492,UTICA UNIVERSITY,1,202312,Private Institution of Higher Education
493,VALDOSTA STATE UNIVERSITY,1,35734,Public Institution of Higher Education
494,VANDERBILT UNIVERSITY,14,4941175,Private Institution of Higher Education
495,VAUGHN COLLEGE OF AERONAUTICS AND TECHNOLOGY,1,284549,Private Institution of Higher Education
496,VILLANOVA UNIVERSITY,8,2206759,Private Institution of Higher Education
497,VIRGINIA COMMONWEALTH UNIVERSITY,7,2188924,Public Institution of Higher Education
498,VIRGINIA COMMUNITY COLLEGE SYSTEM OFFICE,1,1499958,Public Institution of Higher Education
499,VIRGINIA INSTITUTE OF MARINE SCIENCE,1,107930,Public Institution of Higher Education
500,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,36,15723799,Public Institution of Higher Education
501,VIRGINIA STATE UNIVERSITY,1,2194250,Public Institution of Higher Education
502,VIRGINIA WESLEYAN UNIVERSITY,1,612531,Private Institution of Higher Education
503,WAKE FOREST UNIVERSITY,1,501329,Private Institution of Higher Education
504,WASHINGTON STATE UNIVERSITY,6,1591404,Public Institution of Higher Education
505,WASHINGTON UNIVERSITY IN ST LOUIS,17,11004845,Private Institution of Higher Education
506,WAYNE STATE UNIVERSITY,3,500279,Public Institution of Higher Education
507,WEBER STATE UNIVERSITY,2,960215,Public Institution of Higher Education
508,WEBSTER UNIVERSITY,1,775767,Private Institution of Higher Education
509,WELLESLEY COLLEGE,2,193328,Private Institution of Higher Education
510,WEST CHESTER UNIVERSITY OF PENNSYLVANIA,3,704639,Public Institution of Higher Education
511,WEST VIRGINIA STATE UNIVERSITY,1,349681,Public Institution of Higher Education
512,WESTED,1,323305,Private Institution of Higher Education
513,WESTERN KENTUCKY UNIVERSITY,1,50000,Public Institution of Higher Education
514,WESTERN MICHIGAN UNIVERSITY,3,6305297,Public Institution of Higher Education
515,WESTERN WASHINGTON UNIVERSITY,7,3464048,Public Institution of Higher Education
516,WESTFIELD STATE UNIVERSITY,1,513736,Public Institution of Higher Education
517,WHATCOM COMMUNITY COLLEGE,1,84655,Public Institution of Higher Education
518,WHITWORTH UNIVERSITY,1,35893,Private Institution of Higher Education
519,WICHITA STATE UNIVERSITY,3,1510790,Public Institution of Higher Education
520,WICHITA STATE UNIVERSITY-CAMPUS OF APPLIED SCIENCES AND TECHNOLOGY,1,399995,Public Institution of Higher Education
521,WIDENER UNIVERSITY,1,143609,Private Institution of Higher Education
522,WILLAMETTE UNIVERSITY,2,1888790,Private Institution of Higher Education
523,WILLIAM MARSH RICE UNIVERSITY,17,9120210,Private Institution of Higher Education
,WASHBURN UNIVERSITY,1,400000,Public Institution of Higher Education
524,WILLIAM RAINEY HARPER COLLEGE,1,400000,Public Institution of Higher Education
525,WILLIAMS COLLEGE,1,34700,Private Institution of Higher Education
526,WINSTON-SALEM STATE UNIVERSITY,4,1973971,Public Institution of Higher Education
527,WINTHROP UNIVERSITY,1,110305,Public Institution of Higher Education
528,WOODS HOLE OCEANOGRAPHIC INSTITUTION,5,2696175,Private Institution of Higher Education
529,WORCESTER POLYTECHNIC INSTITUTE,5,2177352,Private Institution of Higher Education
530,WORCESTER STATE UNIVERSITY,1,387200,Public Institution of Higher Education
531,YALE UNIVERSITY,12,4756285,Private Institution of Higher Education
