,RECIPIENT.NAME,award_count,total_funding_awarded,Recipient.Type
74,CLARKSON UNIVERSITY,2,1174210,Private Institution of Higher Education
75,CLEMSON UNIVERSITY,18,14628487,Public Institution of Higher Education
76,CLEVELAND STATE UNIVERSITY,2,417099,Public Institution of Higher Education
77,CODE FOR SCIENCE AND SOCIETY,1,344941,Private Institution of Higher Education
78,COLBY COLLEGE,1,123413,Private Institution of Higher Education
79,COLLEGE OF SAINT BENEDICT,1,89562,Private Institution of Higher Education
80,COLLEGE OF THE HOLY CROSS,1,445419,Private Institution of Higher Education
81,COLLEGE OF WILLIAM AND MARY,1,175000,Public Institution of Higher Education
82,COLORADO SCHOOL OF MINES,6,3036489,Public Institution of Higher Education
83,COLORADO SEMINARY,5,3052085,Private Institution of Higher Education
84,COLORADO STATE UNIVERSITY,13,4114854,Public Institution of Higher Education
85,COLORADO STATE UNIVERSITY-PUEBLO,1,33152,Public Institution of Higher Education
86,COLUMBIA UNIVERSITY,22,13903033,Private Institution of Higher Education
87,COLUMBUS STATE COMMUNITY COLLEGE,1,7475000,Public Institution of Higher Education
88,COMMONWEALTH UNIVERSITY OF PENNSYLVANIA,1,400000,Public Institution of Higher Education
89,COMMUNITY & TECHNICAL COLLEGES WASHINGTON STATE BOARD FOR,1,683346,Public Institution of Higher Education
90,CORNELL UNIVERSITY,22,18685897,Private Institution of Higher Education
91,CSU FULLERTON AUXILIARY SERVICES CORPORATION,1,247680,Public Institution of Higher Education
92,DARTMOUTH COLLEGE,8,3429120,Private Institution of Higher Education
93,DAVIDSON COLLEGE,1,49576,Private Institution of Higher Education
94,DELAWARE STATE UNIVERSITY,4,1713038,Public Institution of Higher Education
95,DENISON UNIVERSITY,1,154759,Private Institution of Higher Education
96,DEPAUL UNIVERSITY,3,1698054,Private Institution of Higher Education
97,DILLARD UNIVERSITY,1,792398,Private Institution of Higher Education
98,DOMINICAN UNIVERSITY,1,746469,Private Institution of Higher Education
99,DREXEL UNIVERSITY,12,4439346,Private Institution of Higher Education
100,DUKE UNIVERSITY,14,16008166,Private Institution of Higher Education
101,DUQUESNE UNIVERSITY,1,611658,Private Institution of Higher Education
102,EAST CAROLINA UNIVERSITY,2,987188,Public Institution of Higher Education
103,EASTERN FLORIDA STATE COLLEGE,1,54994,Public Institution of Higher Education
104,EASTERN MICHIGAN UNIVERSITY,2,578811,Public Institution of Higher Education
105,ELIZABETHTOWN COLLEGE,1,1196180,Private Institution of Higher Education
106,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY-PRESCOTT,1,23283,Private Institution of Higher Education
107,EMMANUEL COLLEGE,1,447650,Private Institution of Higher Education
108,EMORY UNIVERSITY,10,11007584,Private Institution of Higher Education
109,EVERETT COMMUNITY COLLEGE,1,389428,Public Institution of Higher Education
110,FAIRFIELD UNIVERSITY,1,469995,Private Institution of Higher Education
111,FAIRLEIGH DICKINSON UNIVERSITY,1,199834,Private Institution of Higher Education
112,FAYETTEVILLE STATE UNIVERSITY,2,1172371,Public Institution of Higher Education
113,FISK UNIVERSITY,3,990028,Private Institution of Higher Education
114,FITCHBURG STATE UNIVERSITY,1,363058,Public Institution of Higher Education
